iter	Passed	Remaining
752	40899	24279
753	40947	24221
754	40997	24164
755	41063	24116
756	41121	24064
757	41178	24011
758	41230	23956
759	41284	23901
760	41329	23841
761	41388	23790
762	41436	23732
763	41493	23679
764	41538	23619
765	41597	23568
766	41645	23510
767	41698	23455
768	41742	23395
769	41790	23337
770	41845	23283
771	41894	23226
772	41937	23165
773	41975	23102
774	42040	23054
775	42097	23001
776	42150	22946
777	42205	22892
778	42266	22842
779	42309	22781
780	42363	22727
781	42425	22677
782	42470	22618
783	42525	22564
784	42573	22506
785	42638	22458
786	42702	22409
787	42757	22355
788	42803	22296
789	42851	22239
790	42920	22192
791	42970	22136
792	43029	22084
793	43079	22027
794	43132	21973
795	43193	21922
796	43248	21868
797	43300	21812
798	43350	21756
799	43398	21699
800	43454	21645
801	43524	21599
802	43564	21538
803	43616	21482
804	43671	21428
805	43730	21376
806	43783	21322
807	43843	21270
808	43884	21209
809	43944	21158
810	44003	21106
811	44075	21060
812	44113	20998
813	44172	20946
814	44218	20888
815	44262	20829
816	44312	20773
817	44357	20714
818	44396	20653
819	44452	20600
820	44502	20543
821	44556	20489
822	44620	20439
823	44687	20391
824	44737	20335
825	44796	20283
826	44855	20231
827	44913	20178
828	44958	20120
829	45002	20061
830	45064	20010
831	45111	19953
832	45174	19902
833	45222	19845
834	45270	19788
835	45324	19734
836	45383	19682
837	45443	19630
838	45493	19574
839	45544	19518
840	45598	19464
841	45654	19411
842	45716	19360
843	45765	19304
844	45816	19248
845	45874	19195
846	45927	19141
847	45983	19087
848	46040	19034
849	46110	18986
850	46171	18935
851	46224	18880
852	46284	18828
853	46343	18776
854	46395	18720
855	46448	18666
856	46504	18612
857	46555	18556
858	46602	18499
859	46665	18449
860	46720	18394
861	46773	18340
862	46825	18285
863	46870	18227
864	46919	18171
865	46969	18115
866	47020	18059
867	47067	18002
868	47129	17951
869	47199	17903
870	47258	17850
871	47303	17793
872	47358	17738
873	47419	17687
874	47466	17630
875	47522	17576
876	47569	17519
877	47629	17467
878	47693	17417
879	47746	17362
880	47801	17308
881	47844	17249
882	47896	17194
883	47945	17138
884	47993	17082
885	48060	17032
886	48109	16976
887	48164	16922
888	48217	16867
889	48260	16809
890	48320	16757
891	48378	16704
892	48432	16650
893	48491	16597
894	48550	16545
895	48596	16488
896	48639	16430
897	48691	16375
898	48752	16323
899	48799	16266
900	48853	16212
901	48910	16158
902	48963	16104
